5,255,0,0
6,0,0,255
7,0,255,0
8,255,255,0
9,255,0,255
10,200,100,100
11,0,255,255
12,200,200,100
13,100,200,100
14,100,200,200
15,112,146,190
16,255,174,201
17,255,127,39
18,63,72,204
19,136,0,21
20,185,122,87
21,239,228,176
22,255,201,14
23,181,230,29
24,0,162,232
25,212,125,232
26,34,153,100
27,153,53,50
28,119,136,39
29,30,46,32
30,110,136,117
31,136,49,136
32,77,119,136
33,37,136,134
34,50,0,136
35,136,2,51
36,88,136,25
37,92,136,118
38,136,87,100
39,108,136,95
40,82,33,136
41,69,70,68
42,0,93,133
43,179,40,207
44,82,207,57
