4,0.683450,0.695150,0.048050,0.073274
5,0.803277,0.812177,0.049829,0.072219
6,0.718449,0.657723,0.045084,0.112283
7,0.654679,0.378334,0.072371,0.157617
8,0.504004,0.940801,0.089278,0.157617
9,0.571630,0.889668,0.096396,0.169215
10,0.664467,0.916552,0.073854,0.090142
11,0.613154,0.847496,0.092244,0.110174
12,0.699170,0.815340,0.046270,0.122298
13,0.741584,0.835372,0.062287,0.039009
14,0.787557,0.855930,0.051906,0.058513
15,0.680187,0.745229,0.058431,0.115973
16,0.734465,0.742067,0.048050,0.111228
17,0.723194,0.868582,0.069405,0.107538
18,0.745440,0.968213,0.028474,0.030047
19,0.781032,0.904428,0.057838,0.069584
20,0.825819,0.906010,0.060804,0.066421
21,0.838870,0.846442,0.081863,0.096995
22,0.837090,0.749447,0.074744,0.105430
23,0.767092,0.730996,0.041228,0.117554
24,0.799422,0.760517,0.048050,0.062731
25,0.527139,0.531734,0.154234,0.334739
26,0.653789,0.697259,0.046270,0.094360
27,0.648450,0.594992,0.055762,0.120190
28,0.649933,0.511176,0.072668,0.090142
29,0.687305,0.305588,0.157497,0.241434
30,0.781625,0.468477,0.075337,0.191882
31,0.844802,0.596046,0.093134,0.106484
32,0.851327,0.670901,0.087795,0.102267
33,0.808023,0.646653,0.051906,0.115973
34,0.720228,0.504323,0.047160,0.143384
35,0.759084,0.508013,0.038262,0.132841
36,0.742770,0.598155,0.055168,0.107538
37,0.787557,0.635055,0.021355,0.040590
38,0.755821,0.655614,0.060211,0.114391
39,0.793786,0.711492,0.035592,0.083817
40,0.691754,0.558092,0.052499,0.140749
41,0.624722,0.209647,0.085719,0.201898
42,0.680187,0.102109,0.073558,0.178176
43,0.699763,0.240748,0.069405,0.098577
44,0.389218,-0.898946,0.402788,1.205061
