5,13
5,14
5,21
5,22
5,23
5,24
6,15
6,16
6,26
6,27
6,36
6,38
6,40
7,28
7,29
7,34
7,41
8,9
9,10
9,11
10,11
10,12
10,17
11,12
11,15
12,13
12,15
12,16
12,17
13,14
13,16
13,17
13,23
14,17
14,19
14,20
14,21
15,16
15,25
15,26
16,23
16,38
17,18
17,19
19,20
19,21
20,21
21,22
22,24
22,32
22,33
23,24
23,33
23,38
23,39
24,33
24,38
24,39
25,26
25,27
25,28
26,27
26,40
27,28
27,40
28,29
28,34
28,40
29,30
29,34
29,35
29,41
29,43
30,31
30,33
30,35
30,36
30,37
30,38
31,32
31,33
32,33
33,37
33,38
33,39
34,35
34,36
34,40
35,36
35,37
36,37
36,38
36,40
37,38
38,39
41,42
41,43
41,44
42,43
42,44
